uwi,dv_b_start,dv_b_end,
100010506418W500,2204,2217,13
100010506518W500,2033.6,2048.2,14.5999999999999
100011806117W500,2118.25,2130.1,11.8499999999999
100012806123W500,,,0
100013306521W500,2236.2,2250,13.8000000000002
100020406519W500,2100.9,2117,16.0999999999999
100020706419W500,2174.4,2185.3,10.9000000000001
100020906418W500,2065.9,2078.3,12.4000000000001
100021706621W500,2220.8,2234.7,13.8999999999996
100022206320W502,2282,2290.7,8.69999999999982
100030706316W500,1969.9,1978.2,8.29999999999995
100033206322W500,2481,2486.7,5.69999999999982
100033206415W500,1794.7,1808.6,13.8999999999999
100033506216W500,1918.7,1933.7,15
100041606522W500,2363.2,2376.3,13.1000000000004
100041906422W500,2438.4,2443,4.59999999999991
100042106416W500,1878.8,1891.7,12.9000000000001
100043206420W500,2227.2,2241.7,14.5
100052306418W500,2017.1,2029.6,12.5
100053206322W500,,,0
100060106319W500,2177.2,2185.3,8.10000000000036
100060406215W500,1902,1908.6,6.59999999999991
100060606515W500,1793.1,1806.6,13.5
100060706320W500,2351.4,2357.9,6.5
100060806019W500,,,0
100061006216W500,1959.7,1969.5,9.79999999999995
100061305818W500,2282.4,2297.8,15.4000000000001
100061306018W500,2191.5,2195.2,3.69999999999982
100061506321W500,2385.8,2390.2,4.39999999999964
100061606020W500,,,0
100062106519W500,2079.7,2096,16.3000000000002
100062906118W500,2183.3,2197.9,14.5999999999999
100062906323W500,2594.4,2603.3,8.90000000000009
100063006121W500,,,0
100063106119W500,2288.8,2305.2,16.3999999999996
100063206123W500,,,0
100063506018W500,2185.6,2189.2,3.59999999999991
100070706116W500,2036.7,2042.6,5.89999999999986
100070706218W500,2158,2174.1,16.0999999999999
100071606217W500,2033.2,2046.9,13.7
100071606224W500,,,0
100072106117W500,2061.9,2076.1,14.1999999999998
100072206324W500,2665,2671.2,6.19999999999982
100072406316W500,1878.9,1892.9,14
100073106121W500,2515.4,2516.8,1.40000000000009
100073106419W500,2133.1,2148.8,15.7000000000003
100073206318W500,2084.6,2096.1,11.5
100073206519W500,2066.3,2079.7,13.3999999999996
100081506218W500,2119.7,2136.8,17.1000000000004
100081806417W500,2000.5,2012.6,12.0999999999999
100090906119W500,1999.9,2012.6,12.6999999999998
100091406220W500,2283.1,2290.9,7.80000000000018
100091406315W500,1829.4,1838.6,9.19999999999982
100093406217W500,2013.1,2020.9,7.80000000000018
100100606322W500,2525.1,2531.6,6.5
100100706222W500,,,0
100100906223W500,,,0
100101006619W500,2021.2,2032.7,11.5
100101606422W500,2418.5,2429.4,10.9000000000001
100101606423W500,2525.6,2535.1,9.5
100101706216W500,1961.5,1973.1,11.5999999999999
100101806020W500,,,0
100101806321W500,2425.7,2427.9,2.20000000000027
100101806419W500,2167.4,2178.4,11
100102106120W500,,,
100102306115W500,,,
100102306520W500,,,
100103306520W500,,,
100110306020W500,,,
100110306418W500,,,
100110406018W500,,,
100112506020W500,,,
100112506523W500,,,
100113305918W500,,,
100113306020W500,,,
100122406218W500,,,
100122506318W500,,,
100122906319W500,,,
100130806320W500,,,
100131106417W500,,,
100131306619W500,,,
100132306423W500,,,
100132505919W500,,,
100132506424W500,,,
100133206316W500,,,
100133406220W500,,,
100140906517W500,,,
100141106223W500,,,
100141306118W500,,,
100141506121W500,,,
100141606221W500,,,
100142306724W500,,,
100142406118W500,,,
100143306221W500,,,
100152906420W500,,,
100160706420W500,,,
100161206217W500,,,
100162805818W500,,,
100162906116W500,,,
102020906220W500,,,
102110806224W500,,,
103011606324W500,,,
103082506018W500,,,
103162506119W500,,,
