uwi,rows,rhob,dtc,dts,gr
100010506418W500,543,543,543,0,543
100010506518W500,500,500,500,500,500
100011806117W500,1860,1860,1860,1860,1860
100012806123W500,492,492,492,492,492
100013306521W500,342,342,342,342,342
100020406519W500,477,477,477,0,477
100020706419W500,502,340,502,0,502
100020906418W500,528,528,528,0,528
100021706621W500,346,175,346,346,258
100022206320W502,905,905,905,905,905
100030706316W500,577,577,577,0,577
100033206322W500,484,484,484,0,484
100033206415W500,387,387,387,0,387
100033506216W500,2219,2219,2219,2219,2219
100041606522W500,380,380,380,0,380
100041906422W500,529,529,0,0,529
100042106416W500,486,486,486,486,486
100043206420W500,309,309,309,0,309
100052306418W500,530,530,530,0,530
100053206322W500,318,318,318,318,318
100060106319W500,527,527,527,0,527
100060406215W500,336,336,336,0,336
100060606515W500,493,493,493,0,493
100060706320W500,539,539,539,0,539
100060806019W500,659,659,659,0,659
100061006216W500,558,558,558,0,558
100061305818W500,812,812,812,0,812
100061306018W500,522,522,522,0,522
100061506321W500,556,556,556,0,556
100061606020W500,2131,2131,0,0,2131
100062106519W500,432,432,432,0,432
100062906118W500,639,639,639,0,639
100062906323W500,518,518,0,0,518
100063006121W500,433,433,433,433,433
100063106119W500,610,610,610,0,610
100063206123W500,598,598,598,0,598
100063506018W500,605,605,605,0,605
100070706116W500,360,360,360,0,360
100070706218W500,581,581,581,581,581
100071606217W500,401,401,401,0,401
100071606224W500,477,477,477,0,477
100072106117W500,554,554,554,0,554
100072206324W500,368,368,368,0,368
100072406316W500,563,563,563,0,563
100073106121W500,476,476,476,0,476
100073106419W500,470,456,470,0,470
100073206318W500,532,532,532,0,532
100073206519W500,424,424,424,0,424
100081506218W500,610,610,610,610,610
100081806417W500,505,505,505,0,505
100090906119W500,601,601,601,0,601
100091406220W500,543,543,543,0,543
100091406315W500,486,486,486,0,486
100093406217W500,640,640,640,640,0
100100606322W500,365,365,365,365,365
100100706222W500,456,456,456,0,456
100100906223W500,423,423,423,0,423
100101006619W500,380,380,380,0,380
100101606422W500,461,461,0,0,461
100101606423W500,475,475,475,0,475
100101706216W500,576,576,576,0,576
100101806020W500,505,505,505,0,505
100101806321W500,518,518,0,0,518
100101806419W500,475,475,475,475,475
100102106120W500,581,581,581,0,581
100102306115W500,362,362,362,0,362
100102306520W500,436,436,436,0,436
100103306520W500,385,385,385,0,385
100110306020W500,532,532,532,0,532
100110306418W500,529,529,529,0,529
100110406018W500,629,629,629,0,629
100112506020W500,585,585,585,0,585
100112506523W500,316,316,316,0,316
100113305918W500,616,616,616,0,616
100113306020W500,475,475,475,0,475
100122406218W500,620,620,620,0,620
100122506318W500,535,535,535,0,535
100122906319W500,500,500,500,500,500
100130806320W500,502,502,502,0,502
100131106417W500,505,505,505,0,505
100131306619W500,374,374,374,0,374
100132306423W500,452,452,0,452,452
100132505919W500,716,716,716,0,716
100132506424W500,418,418,418,0,418
100133206316W500,509,509,0,0,509
100133406220W500,532,532,532,532,532
100140906517W500,475,475,475,0,475
100141106223W500,425,425,425,425,425
100141306118W500,572,572,572,0,572
100141506121W500,554,490,0,0,430
100141606221W500,547,525,398,0,465
100142306724W500,455,455,455,0,455
100142406118W500,562,562,562,0,562
100143306221W500,580,580,580,0,580
100152906420W500,471,471,471,0,471
100160706420W500,534,534,534,534,534
100161206217W500,561,561,561,0,561
100162805818W500,518,518,518,518,518
100162906116W500,506,506,0,0,506
102020906220W500,601,601,601,601,601
102110806224W500,483,483,0,0,483
103011606324W500,426,426,426,426,426
103082506018W500,455,455,455,455,455
103162506119W500,639,639,0,0,639
